venta_id,producto_id,cantidad,subtotal
1,895,9,3056.76
1,125,8,2361.68
1,628,8,529.44
1,704,10,2717.2
2,12,5,582.05
2,715,5,1008.0
2,942,7,1508.22
2,34,3,199.26
3,419,9,3310.02
3,286,8,115.76
4,945,7,1521.38
4,485,3,753.69
4,435,7,1736.77
4,794,3,941.1
4,35,10,1859.9
5,625,8,3128.0
5,107,5,955.9
5,647,10,1753.5
5,253,10,3787.7
6,878,9,2308.95
6,707,1,235.02
7,485,2,494.0
8,700,9,1317.6
8,953,1,395.23
8,510,4,1332.72
9,660,9,1551.69
9,398,8,1942.8
9,941,2,150.9
10,307,5,1067.35
10,115,7,2775.57
10,948,7,197.75
10,982,1,104.37
11,114,9,1574.64
12,186,1,375.43
13,657,2,532.22
13,834,4,975.6
13,638,6,1822.56
14,887,7,470.47
14,366,10,898.9
14,646,1,221.51
15,606,2,239.52
15,404,4,979.52
16,450,7,1507.94
16,522,1,208.62
17,398,2,124.76
17,200,2,342.14
17,744,10,1935.8
18,15,3,814.77
18,656,10,2071.3
18,295,10,3375.0
18,91,8,664.08
19,220,3,938.07
19,188,3,186.33
19,387,8,1497.68
20,927,10,3814.4
20,906,1,57.12
21,758,9,2565.99
21,238,8,1762.64
21,996,3,160.38
22,414,7,1104.25
22,588,5,1283.85
23,224,8,1274.32
23,610,2,702.84
23,109,10,3394.9
24,728,8,234.48
25,490,1,108.34
25,600,8,1247.76
26,797,9,2177.64
26,29,6,1418.4
26,998,2,760.34
27,415,9,3138.3
27,577,2,568.02
27,405,2,304.12
27,500,3,1178.07
27,967,10,3233.0
28,736,8,2646.64
29,321,5,1006.5
29,727,10,1475.7
29,220,1,397.31
29,831,1,384.16
29,131,4,1053.72
30,946,3,256.92
30,102,3,354.45
30,225,3,1083.72
31,344,1,32.45
31,493,2,434.18
32,765,9,794.34
32,506,7,1712.48
33,711,7,2264.5
34,111,9,3100.05
35,366,10,269.8
36,23,4,1505.72
36,350,3,103.98
37,759,7,2790.55
37,601,10,3794.1
37,349,5,1110.4
37,215,2,315.86
37,858,9,1657.62
38,528,4,856.64
38,149,8,2260.4
38,345,5,76.9
38,676,8,2472.0
38,975,10,2059.2
39,956,5,1556.5
39,358,9,3000.15
39,433,4,1569.72
40,565,9,2568.69
40,370,3,243.81
40,365,7,1217.58
40,668,8,2456.16
40,66,4,612.24
41,718,7,2753.87
41,136,8,2385.92
42,195,4,565.28
42,336,7,801.22
42,272,3,561.78
42,48,4,1095.88
43,280,10,3269.9
43,940,3,48.36
44,420,9,474.48
44,977,10,2557.3
44,999,4,1387.48
44,458,2,461.98
44,776,4,1108.92
45,407,10,448.9
45,122,7,1808.66
45,547,2,490.02
45,539,10,2055.9
45,735,5,1446.75
46,471,2,148.72
46,73,1,181.34
46,954,8,2563.84
46,786,5,1610.8
46,882,9,1081.17
47,732,9,196.29
47,597,1,375.96
47,363,1,291.67
47,468,10,3231.9
48,596,1,73.43
48,573,4,759.48
49,930,5,1709.1
49,602,1,42.37
49,881,1,249.07
49,471,2,709.18
49,394,3,749.4
50,138,10,2850.3
50,392,4,1160.32
50,484,7,2117.36
51,817,2,313.94
51,625,3,141.33
51,284,5,515.7
51,476,7,234.92
52,190,4,741.72
52,163,2,722.02
52,270,8,1295.12
53,11,6,1315.56
53,89,6,417.36
53,248,8,2722.64
53,347,5,989.45
54,406,3,198.06
54,813,9,2818.62
55,845,10,587.5
55,829,1,84.11
55,30,4,1231.04
55,152,10,1779.4
56,148,4,379.92
56,485,9,2676.87
56,342,4,107.32
56,449,8,2872.64
56,219,7,1185.87
57,734,5,331.85
57,819,2,570.86
57,519,1,107.88
57,590,8,1946.32
58,293,1,250.65
58,146,1,201.56
59,205,8,3073.36
59,752,5,1311.35
59,617,8,1586.96
60,97,9,2358.09
60,416,6,1961.94
61,681,7,2643.76
61,328,3,589.71
61,20,8,175.44
61,223,1,108.98
61,493,3,62.88
62,641,7,1848.28
62,395,3,80.49
63,576,6,1258.98
63,755,10,3127.2
63,973,5,204.15
63,212,8,263.52
63,545,7,2417.8
64,775,6,988.98
64,27,7,2089.36
65,288,2,192.94
65,141,10,3586.3
65,430,10,1757.1
65,219,1,309.63
66,623,10,1274.6
66,441,8,1565.52
67,749,10,818.3
67,562,1,23.3
67,38,4,876.4
67,804,1,91.88
67,182,5,651.4
